id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F10032	333.2458	380.07	376.43	384.05	6002	7808727	1.0	1.0	768	1	7840435
F10033	333.2458	390.33	386.98	394.36	6002	3430427	1.0	0.99	347	1	3459595
F10034	423.1654	103.0	99.22	106.49	7538	1574108	0.79	0.74	103	1	1582418
F10035	395.2056	614.9	611.71	618.71	7114	4202296	1.0	0.92	57	1	4228499
F10036	333.2644	600.94	598.39	604.43	6003	2939370	1.0	0.98	306	1	2959376
F10041	333.2898	719.42	715.65	722.87	6004	26041004	1.0	0.82	1702	1	26065004
F10044	333.3185	599.99	597.12	603.48	6005	3764035	1.0	0.99	360	1	3785041
F10045	395.2924	518.78	515.86	521.39	7116	2174358	1.0	1.0	250	1	2192365
F10046	363.2191	647.17	643.39	650.95	6585	314700734	1.0	0.96	331	1	314725734
F10049	363.2309	591.99	588.15	595.84	6586	8718985	1.0	0.91	37	1	8780209
F10051	334.1402	578.86	575.4	582.69	6008	7726854	1.0	0.97	573	1	7800058
F10052	334.1402	588.15	584.61	591.67	6008	3696727	1.0	0.99	320	1	3725474
F10053	363.2346	455.52	453.26	457.79	6587	1098302	1.0	0.99	138	1	1121511
F10054	423.3285	595.84	592.63	599.35	7541	3108693	1.0	0.94	232	1	3153307
F10055	334.1472	406.45	402.78	410.4	6009	39317076	1.0	0.92	699	1	39341076
F10056	334.1472	438.09	434.43	441.59	6009	15537286	1.0	0.94	114	1	15560286
F10057	363.2373	732.32	728.85	736.09	6588	1438103	1.0	0.92	104	1	1474972
F10058	363.2393	455.2	452.94	458.12	6589	1984487	1.0	1.0	238	1	2001497
F10060	334.1696	495.57	492.62	499.53	6010	1728396	1.0	0.97	47	1	1769883
F10061	334.1696	518.13	514.22	521.71	6010	3946700	1.0	0.99	277	1	3959495
F10062	334.1696	732.63	728.85	736.4	6010	4148331	1.0	0.93	204	1	4248627
F10063	334.2062	615.85	612.99	619.67	6015	1834045	1.0	0.92	180	1	1880680
F10064	363.2509	607.26	606.0	609.8	6592	872003	0.89	0.82	8	1	896084
F10065	363.2975	697.39	695.5	701.17	6593	1381853	1.0	0.98	153	1	1393726
F10066	334.2083	588.15	585.25	590.39	6016	1506319	1.0	0.99	172	1	1523325
F10067	363.3098	576.65	573.51	580.45	6595	1965941	1.0	0.95	157	1	1980211
F10068	363.3098	678.85	676.03	682.3	6595	2160122	1.0	0.99	210	1	2181131
F10069	334.2367	470.71	467.75	474.38	6019	3640462	1.0	1.0	424	1	3666496
F10070	364.0441	316.35	312.37	320.31	6596	3268967	1.0	0.96	185	1	3314637
F10071	364.0888	228.72	226.42	232.71	6597	1163972	1.0	0.9	111	1	1196456
F10072	334.2939	461.43	458.12	465.41	6022	1842492	1.0	0.98	150	1	1868162
F10073	334.2939	718.47	715.34	722.24	6022	1432917	1.0	0.86	131	1	1471869
F10076	364.1342	44.48	41.31	46.69	6598	9594019	1.0	0.94	460	1	9612019
F10077	423.7908	616.8	613.63	620.62	7545	2149977	1.0	0.99	224	1	2162899
F10078	364.1864	570.64	567.76	574.46	6599	2403212	1.0	0.98	236	1	2425219
F10079	334.3097	800.0	796.85	802.84	6023	1654036	1.0	0.9	55	1	1674907
F10080	364.2143	360.96	357.93	363.99	6600	1205260	1.0	1.0	72	1	1223077
F10081	424.1487	532.13	528.23	536.05	7546	1942046	1.0	0.96	26	1	1987833
F10093	335.0268	316.35	312.37	320.31	6024	2259179	1.0	0.95	129	1	2299759
F10094	364.2226	646.85	643.07	650.63	6601	59547063	1.0	0.96	1138	1	59572063
F10095	396.1077	250.86	246.89	254.85	7122	4694680	1.0	0.97	238	1	4752720
F10096	364.2344	591.99	588.47	595.84	6602	1795687	1.0	0.96	139	1	1801331
F10097	396.1385	575.71	572.55	579.5	7123	6685502	1.0	0.93	328	1	6738157
F10099	335.0904	230.03	226.1	233.38	6027	1651513	1.0	0.94	136	1	1674525
F10100	335.0946	337.06	333.03	341.09	6028	1890411	1.0	1.0	166	1	1932233
F10101	396.2763	718.47	714.71	721.93	7125	1973951	1.0	0.78	94	1	2009515
F10102	335.1091	463.75	461.43	466.76	6029	1496155	1.0	1.0	186	1	1515032
F10103	396.2793	644.33	640.55	648.11	7126	9592081	1.0	0.78	592	1	9799224
F10106	364.2555	776.7	773.55	778.28	6603	3450796	0.79	0.86	14	1	3430151
F10108	364.2555	786.15	783.95	788.35	6603	3805046	0.78	0.86	19	1	3851174
F10109	364.2555	798.43	796.22	800.0	6603	2862597	0.78	0.82	10	1	2877859
F10110	364.2555	801.26	800.0	801.89	6603	1580498	0.78	0.84	9	1	1654937
F10111	364.2555	803.15	801.89	805.36	6603	3943616	0.78	0.77	9	1	2626931
F10113	364.2555	813.54	811.97	816.37	6603	2071387	0.77	0.93	7	1	2132057
F10114	364.2555	822.95	819.5	824.2	6603	3593588	0.77	0.84	9	1	3632083
F10115	364.2555	825.77	824.2	829.53	6603	3832267	0.78	0.96	9	1	3743277
F10116	396.3099	574.46	571.27	578.23	7127	20137807	1.0	0.95	1263	1	20160807
F10119	364.2724	826.7	822.95	828.59	6604	1736991	1.0	0.74	151	1	1734406
F10129	424.2935	617.12	613.95	620.3	7548	1267482	1.0	0.99	113	1	1288492
F10130	335.123	365.0	360.96	369.03	6032	2147958	0.98	0.98	30	1	2182547
F10131	335.123	380.73	376.77	383.39	6032	7396917	1.0	0.96	66	1	7424695
F10132	335.123	385.02	383.39	387.64	6032	3557721	1.0	0.98	51	1	3558658
F10133	335.123	390.33	387.64	393.69	6032	6178031	1.0	0.99	101	1	6196304
F10134	335.123	396.71	393.69	400.77	6032	6127022	1.0	1.0	98	1	6148655
F10135	335.123	601.58	598.71	604.43	6032	3565835	1.0	0.99	403	1	3584844
F10140	364.7577	825.14	821.7	828.59	6605	2321414	0.74	0.87	5	1	2352007
F10149	424.3411	616.49	612.99	620.3	7551	134402788	1.0	0.96	582	1	134426788
F10150	335.1509	406.78	404.46	410.76	6035	4257964	0.81	0.88	371	1	4277964
F10153	335.1509	696.44	692.67	700.22	6035	37443137	1.0	0.96	2469	1	37468137
F10154	335.1599	552.29	548.42	554.19	6037	1171138	1.0	0.88	60	1	1199553
F10155	335.1599	587.5	584.29	591.35	6037	2425175	1.0	0.97	165	1	2463181
F10162	335.1802	198.08	195.36	200.76	6039	1119977	1.0	1.0	142	1	1138439
F10163	397.0695	203.74	199.76	207.64	7133	9269461	1.0	0.98	549	1	9420723
F10164	335.1841	470.05	466.43	474.05	6040	1896382	1.0	0.99	22	1	1920497
F10165	397.0945	599.67	597.12	601.58	7134	1241061	1.0	0.94	142	1	1249855
F10166	397.0945	603.48	601.58	607.26	7134	2317856	1.0	0.87	221	1	2386567
F10167	365.0351	385.67	382.39	389.32	6608	3067638	1.0	1.0	358	1	3091674
F10168	335.1886	696.13	692.67	699.91	6041	3363735	1.0	0.94	247	1	3388497
F10170	397.116	469.07	466.76	472.39	7135	1247013	1.0	1.0	167	1	1269360
F10171	365.0727	385.67	383.06	388.65	6609	2888335	1.0	0.99	391	1	2910254
F10172	425.115	251.18	247.23	255.19	7555	2650722	1.0	0.99	184	1	2684600
F10173	335.2426	731.69	728.22	735.46	6043	2319439	1.0	0.94	169	1	2366563
F10174	365.1347	596.16	592.31	599.99	6611	4892561	1.0	0.98	399	1	4897403
F10175	425.1622	350.26	347.93	352.94	7560	1085902	1.0	0.99	139	1	1103886
F10176	365.1376	43.85	42.91	45.43	6612	640089	1.0	0.91	109	1	674334
F10177	335.2552	717.53	713.77	721.3	6044	5011220	1.0	0.94	82	1	5043766
F10182	397.1307	576.34	572.55	580.13	7136	13028971	1.0	0.93	151	1	13115383
F10183	425.1828	516.83	513.89	520.74	7563	1573638	1.0	0.99	159	1	1596198
F10184	365.142	317.33	314.7	320.31	6613	886271	1.0	0.99	123	1	904278
F10185	397.2109	442.84	439.07	445.37	7137	1658578	1.0	0.86	168	1	1686147
F10186	425.2139	604.43	601.58	608.21	7564	2477469	1.0	0.94	138	1	2522072
F10187	425.2139	641.5	638.35	644.65	7564	6827956	1.0	1.0	715	1	6852266
F10188	365.1626	516.51	512.59	520.39	6614	4624333	1.0	0.95	425	1	4674423
F10189	365.1626	526.93	523.34	530.5	6614	1112502	1.0	0.99	104	1	1131496
F10190	365.1626	582.37	578.86	585.25	6614	1033307	1.0	0.99	56	1	1057226
F10194	365.1697	478.65	474.71	480.21	6615	1488990	0.9	0.93	34	1	1499799
F10195	365.1697	485.02	481.47	488.68	6615	3660412	1.0	0.96	73	1	3684015
F10196	336.133	99.53	95.74	103.31	6049	2136549	0.75	0.83	132	1	2195377
F10197	397.2363	620.62	616.8	624.43	7139	6653479	1.0	0.93	62	1	6716987
F10198	425.2662	609.8	607.26	611.71	7566	892608	0.77	0.85	20	1	907614
F10199	425.2662	646.22	643.7	648.74	7566	1486527	0.92	0.99	173	1	1521333
