id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F596	111.0444	28.67	27.09	30.25	486	6899871	1.0	0.97	582	1	6912377
F598	153.0111	1.81	0.37	2.34	987	30510917	1.0	0.79	26	1	30526917
F600	90.5074	1.42	1.03	1.68	275	8442287	1.0	0.9	2699	1	8448287
F603	132.0657	289.69	288.12	290.35	721	9618335	0.89	0.74	4	1	9737093
F605	132.0657	294.16	293.5	294.81	721	6291999	0.9	0.89	5	1	6258322
F606	132.0657	295.86	294.81	297.44	721	11088948	0.86	0.9	4	1	11085175
F607	132.0657	298.09	297.44	298.62	721	4928121	0.82	0.84	4	1	5067401
F608	132.0657	299.41	298.62	300.33	721	6995221	0.86	0.88	4	1	7025615
F610	132.0657	302.56	302.17	303.22	721	3496786	0.74	0.84	3	1	3517792
F617	132.0769	282.86	281.42	284.44	722	95178307	0.8	0.96	16	1	95202307
F618	132.0769	289.03	287.46	289.3	722	66137647	0.72	0.95	14	1	39161092
F620	132.081	28.67	27.09	30.25	724	31381204	1.0	0.96	951	1	31406204
F623	91.0548	28.67	27.23	30.25	281	107757020	1.0	0.96	559	1	108076805
F625	91.0564	28.41	27.62	28.93	282	776734	1.0	0.81	108	1	787739
F626	153.0772	0.5	0.11	1.16	992	3062505	0.72	0.97	21	1	3110004
F628	153.0772	335.78	334.2	337.36	992	14418740	0.76	0.94	9	1	14646103
F630	111.0809	27.49	25.91	28.41	491	4028064	1.0	0.96	55	1	4186653
F631	91.5051	1.29	0.9	1.68	284	1586978	1.0	0.9	299	1	1496810
F632	153.091	27.88	26.31	28.41	993	2022245	1.0	0.85	11	1	2078388
F633	153.1136	0.76	0.24	1.03	995	6037599	1.0	0.89	327	1	6044599
F635	153.1136	4.05	3.52	5.39	995	1892574	0.97	0.76	46	1	1907574
F637	133.0279	362.04	360.47	363.62	727	4970446	1.0	0.99	378	1	4965423
F642	133.0649	28.67	27.09	30.25	733	20933761	1.0	0.89	2511	1	20958761
F643	159.1129	0.5	0.11	1.42	1075	7612591	1.0	0.99	18	1	8017461
F649	133.0972	0.63	0.11	1.16	737	1424423	1.0	0.97	69	1	1433427
F652	159.1574	0.9	0.37	1.42	1078	2292940	1.0	0.87	460	1	2301943
F655	159.1857	2.34	1.81	3.78	1079	2426985	1.0	0.96	332	1	2432883
F656	159.3246	25.65	24.86	27.09	1080	1100168	1.0	0.98	119	1	1118178
F657	159.3282	25.91	24.99	26.83	1081	938923	1.0	0.98	104	1	953930
F658	111.5622	29.19	27.62	30.77	498	4642825	1.0	0.93	373	1	4663179
F659	111.5642	29.59	28.67	30.77	499	2492776	0.79	0.93	260	1	2517356
F663	133.1337	2.21	1.68	3.39	740	2250273	1.0	0.83	71	1	2277320
F666	133.9826	252.06	250.49	253.64	741	11074838	0.83	0.87	6	1	11179845
F673	112.0203	1.29	0.9	1.81	503	1530135	1.0	0.88	307	1	1538139
F674	160.0798	282.47	271.96	295.07	1088	13193765	1.0	0.94	143	1	13385281
F675	112.0211	1.29	0.9	1.81	504	1041975	1.0	0.88	209	1	1049976
F677	154.0976	0.63	0.11	1.16	1006	15241905	1.0	0.96	41	1	15666558
F687	154.1339	0.5	0.24	1.03	1007	6702891	1.0	0.9	64	1	6709891
F694	161.0558	299.67	297.44	306.37	1096	4118717	1.0	0.93	131	1	4196096
F709	154.9903	1.29	0.11	2.6	1012	313070566	1.0	0.95	1025	1	988298253
F712	135.0666	0.63	0.11	1.03	750	1867000	1.0	0.95	8	1	1964203
F715	135.0806	28.8	27.23	30.38	751	230299889	1.0	0.98	14064	1	230324889
F716	155.0816	0.63	0.11	1.29	1016	6149366	1.0	0.96	21	1	6371830
F720	112.0873	0.5	0.11	1.29	509	19641365	1.0	0.96	60	1	19954887
F721	135.117	27.23	25.78	28.14	754	1242744	1.0	0.97	106	1	1238386
F722	135.117	123.6	122.02	125.17	754	3109611	1.0	0.99	197	1	3145577
F723	155.0929	0.63	0.11	1.29	1017	2486153	1.0	0.99	67	1	2496156
F730	155.1067	26.7	25.78	28.28	1018	1549193	1.0	0.85	55	1	1559998
F731	112.967	1.42	1.03	1.81	515	6786624	1.0	0.98	2129	1	6793624
F734	113.0349	362.04	360.47	363.49	517	2694112	0.76	0.95	10	1	2732627
F735	162.0875	300.72	299.15	302.3	1109	2137299	0.8	0.93	8	1	2144338
