id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F7277	286.2735	530.83	kp726_285.2662		M0,M+H+	526.93	534.74	4847	40201767	1.0	0.92	45	1	40226767
F7282	286.6356	674.47	kp2480_571.7608		M0,M+H+, 2x charged	670.72	677.28	4848	3858112	1.0	0.9	333	1	3924057
F7289	286.9888	286.04	7407	C9H8BrF3O	singleton	282.3	289.26	4850	2055643	1.0	0.98	162	1	2058337
F7290	263.6526	606.0	112128		singleton	603.17	608.21	4196	1819713	1.0	0.92	193	1	1829304
F7291	287.0095	250.53	7408	C10H5Cl2N3O2	singleton	246.89	254.51	4851	1863081	1.0	0.98	138	1	1901649
F7297	263.9522	828.9	7413	C8H6Cl2N2O2S	singleton	825.14	832.71	4198	3473565	0.89	0.96	222	1	3496805
F7310	264.1331	313.71	kp2044_263.1257		M0,M+H+	310.69	317.66	4205	4536482	1.0	1.0	575	1	4558492
F7311	311.294	664.43	7414	C20H38O2	singleton	661.92	668.2	5509	3303502	0.94	0.8	125	1	3353191
F7312	264.1354	448.3	7415	C16H19NO	singleton	445.69	452.28	4206	11605226	1.0	0.99	1491	1	11626226
F7313	235.0657	43.85	7416	C10H10F2N2O	singleton	40.66	46.37	3508	1693814	0.83	0.93	35	1	1732292
F7317	235.0692	44.17	_singleton_7417	C9H9N5O3	singleton	40.99	47.32	3509	2680396	1.0	0.92	239	1	2672766
F7318	235.0692	49.55	_singleton_7418	C9H9N5O3	singleton	47.32	52.73	3509	2039827	0.96	0.82	172	1	2004527
F7323	311.6723	737.34	112129		singleton	734.83	740.48	5511	1397693	1.0	0.82	136	1	1375058
F7324	311.996	250.86	7420	C12H4Cl2F4	singleton	246.89	254.85	5512	6570170	1.0	0.99	468	1	6614322
F7325	264.17	472.06	_singleton_7421	C14H18N2O2	singleton	468.74	476.04	4210	3818606	1.0	0.99	242	1	3847505
F7329	287.1019	352.6	5741	C15H12N2O3	singleton	349.26	356.27	4858	1444406	0.93	1.0	33	1	1476252
F7331	264.2315	379.41	_singleton_6040	C17H26O	singleton	376.77	383.06	4212	1366009	1.0	0.99	137	1	1391642
F7332	312.0831	383.39	_singleton_7427	C13H14N2O2S2	singleton	379.41	387.31	5516	1402618	0.95	0.96	34	1	1433090
F7333	312.0831	393.02	7428	C13H14N2O2S2	singleton	389.32	396.04	5516	1109350	0.95	0.99	28	1	1133314
F7335	287.1094	513.24	7034	C11H20O7	singleton	509.32	517.16	4859	2802422	1.0	0.9	22	1	2826678
F7336	235.0762	43.54	_singleton_7429	C11H16O2S	singleton	40.99	46.37	3513	10123700	0.71	0.86	94	1	10141700
F7337	235.0762	50.19	_singleton_7430	C11H16O2S	singleton	48.91	50.83	3513	2360678	0.71	0.76	41	1	2367678
F7344	264.2399	731.06	7434	C14H31N3	singleton	727.28	734.83	4213	2708819	1.0	0.91	5	1	2729235
F7345	312.1295	196.72	kp728_311.122		M0,M+H+	192.63	199.76	5518	12900066	1.0	0.97	1504	1	12922066
F7346	312.1591	578.23	kp729_311.1516		M0,M+H+	575.71	582.05	5519	80997575	1.0	0.95	7181	1	81018575
F7347	312.1591	588.15	kp730_311.1516		M0,M+H+	584.29	591.99	5519	49153386	1.0	0.99	4311	1	49178386
F7348	287.1161	493.28	7435	C16H17NO4	singleton	489.67	497.23	4861	5911053	1.0	0.99	45	1	5936812
